Fecha,Precip_mm,Evap_mm,TMAX_C,TMIN_C
01/02/1959,0,3.5,36,23
02/02/1959,0,3.4,36,21
03/02/1959,0,3.7,35,20
04/02/1959,0,2.7,31,22
05/02/1959,0,3.2,35,19
06/02/1959,0,4.5,35,20
07/02/1959,0,4.5,36.5,20
08/02/1959,0,5.6,36.5,21
09/02/1959,0,6.3,35.5,23
10/02/1959,0,4.7,35,21
11/02/1959,0,7,37,22
12/02/1959,0,3.4,36.5,22
13/02/1959,0,5,35,21.5
14/02/1959,0,5.1,32,22
15/02/1959,0,2.7,36.5,22
16/02/1959,0,5.1,36.5,22
17/02/1959,0,5,36,22.5
18/02/1959,0,2.7,36,21.5
19/02/1959,0,4.4,30,22
20/02/1959,0,3.1,34.5,24.5
21/02/1959,0,4.7,35,21
22/02/1959,0,5.3,35.3,21
23/02/1959,0,4.8,35,22
24/02/1959,0,6.2,37,21
25/02/1959,0,5.6,36,22
26/02/1959,0,3.5,30,23
27/02/1959,0,6.7,36.5,24
28/02/1959,0,5.2,33.2,21.5
01/03/1959,0,7.7,36.5,22
02/03/1959,0,10,37,21
03/03/1959,0,2.6,36,20.5
04/03/1959,0,9.2,36.5,20
05/03/1959,0,6,36,20.5
06/03/1959,0,6,36.5,21
07/03/1959,0,3.6,37,22
08/03/1959,0,5.4,36.9,22.5
09/03/1959,0,4.6,37,22.5
10/03/1959,0,5.9,36,22.5
11/03/1959,0,6.3,36,23
12/03/1959,0,8.8,38,21.5
13/03/1959,0,8.7,37.5,23
14/03/1959,0,5.5,37,23
15/03/1959,0,6,36.5,23
16/03/1959,0,4.7,37.5,22
17/03/1959,0,4.1,35,23.5
18/03/1959,0,5.2,36.5,23.5
19/03/1959,0,5.5,38.2,22.5
20/03/1959,0,5.6,37,24
21/03/1959,0,4.9,36.5,23
22/03/1959,0,8.2,37,22.5
23/03/1959,0,12,28.5,22.5
24/03/1959,0,5.8,36.5,22.2
25/03/1959,0,4.9,37,23.5
26/03/1959,0,5.2,33,23
27/03/1959,0,5.1,36.5,22
28/03/1959,0,5.3,37,21
29/03/1959,0,9.7,37.5,20
30/03/1959,0,7.7,36.5,20
31/03/1959,0,5.6,38,23.5
01/04/1959,0,6,38,24
02/04/1959,0,6.7,38.5,23.5
03/04/1959,0,5.4,38,24
04/04/1959,0,4.2,36,24.5
05/04/1959,0,6.2,38,24.5
